k,silhouette,smallest_cluster
2,0.2574216968554759,75
3,0.2816407687159293,8
4,0.21692602631573663,8
5,0.21377132275306227,8
6,0.15877171557446051,8
7,0.15178975820297566,7
8,0.15457652189025833,7
