question,model,mae,rmse,r2,poisson_deviance,alpha,max_depth,min_samples_leaf,roc_auc,pr_auc,brier,precision,recall,f1,balanced_accuracy,threshold,C
Q1 count,seasonal_baseline,105.19347697697907,139.66819613462428,-0.014473660171610891,137.0301199884866,,,,,,,,,,,,
Q1 count,poisson,67.72213338955004,116.33843045326716,0.29613053058098293,88.99454879424353,0.1,,,,,,,,,,,
Q1 count,random_forest,77.75203272905796,120.82669499135332,0.240773217665055,88.23026014741423,,9.0,10.0,,,,,,,,,
Q2 high demand,logistic,,,,,,,,0.6995169082125604,0.04640472577776653,0.052494028841082875,0.0,0.0,0.0,0.4830917874396135,0.47891930911352576,5.0
Q2 high demand,random_forest,,,,,,,3.0,0.851207729468599,0.128488333132296,0.022636254011266684,0.044642857142857144,1.0,0.08547008547008547,0.7415458937198067,0.01725826166364108,
Q2 high demand,logistic_weather_only,,,,,,,,0.7835748792270532,0.10714775492147754,0.18241431754851853,0.04938271604938271,0.8,0.09302325581395349,0.7140096618357488,0.4405572645590168,0.05
Q2 high demand,random_forest_weather_only,,,,,,,3.0,0.8898550724637682,0.14182761629241858,0.02552557405785969,0.09302325581395349,0.8,0.16666666666666666,0.8057971014492754,0.11012804023489067,
Q3 slow closure,logistic,,,,,,,,0.9248387326517638,0.29929758594639555,0.08159091697673578,0.44616596638655465,0.3551792620466186,0.3955071873363208,0.673122148954668,0.9588318692772538,
Q3 slow closure,decision_tree,,,,,,10.0,,0.8369542901375066,0.19723954733183086,0.10575558347978471,0.1329687724852497,0.7726560050172467,0.22689114320354825,0.8352771168498975,0.9131441469477378,
