year,comm_code,comm_name,service_name,n
2021,01K,01K,Corporate - Graffiti Concerns,3
2021,01K,01K,CT - Advertising and Communications,1
2021,01K,01K,CT - Bus Route or Bus Schedule,1
2021,01K,01K,CT - Transit Safety / Public Etiquette,1
2021,01K,01K,Finance - Property Tax Account Inquiry,1
2021,01K,01K,N/A,2
2021,01K,01K,Parks - Garbage - WAM,8
2021,01K,01K,Parks - Infrastructure - WAM,1
2021,01K,01K,Parks - Wildlife Management,2
2021,01K,01K,Parks - Wildlife Sightings,1
2021,01K,01K,Roads - Debris on Backlane,1
2021,01K,01K,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,01K,01K,Roads - Roadway Maintenance,1
2021,01K,01K,Roads - Signs - Missing - Damaged,3
2021,01K,01K,Roads - Snow and Ice Control,1
2021,01K,01K,Roads - Traffic or Pedestrian Light Repair,1
2021,01K,01K,Stewardship of City Owned Land,2
2021,01K,01K,WATR - Utility Inspection - Corrosion - Indemnification,1
2021,01K,01K,WATS - Hydrant Control Unit - HCU Inspections,1
2021,01K,01K,WATS - Sewage Back-up,1
2021,01K,01K,WATS - Sewer Maintenance,1
2021,01K,01K,WATS - Spills Entering Storm System,1
2021,01K,01K,WATS - Storm Pond Concerns,3
2021,01K,01K,WATS - Temporary Water Line Issues,1
2021,01K,01K,WATS - Water Meter Issues,1
2021,01K,01K,WATS - Water Treatment Inquiries,1
2021,02B,02B,Bylaw - Noise Concerns,3
2021,02B,02B,Roads - Dead Animal Pick-Up,2
2021,02B,02B,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,02B,02B,Roads - Employee Complaint - Compliment,1
2021,02B,02B,Roads - Repaving Candidate Street and Inquiries,1
2021,02B,02B,Roads - Roadway Maintenance,1
2021,02B,02B,Roads - Signs - Traffic and Roadmarking,1
2021,02C,02C,311 Contact Us,3
2021,02C,02C,Bylaw - Disturbance and Behavioural Concerns,2
2021,02C,02C,Bylaw - Material on Public Property,1
2021,02C,02C,Bylaw - Noise Concerns,1
2021,02C,02C,Bylaw - Temporary Signs Infraction on City Property,1
2021,02C,02C,Bylaw - Water Services Request,1
2021,02C,02C,CBS Inspection - Commercial or Multi-Family,7
2021,02C,02C,CBS Inspection - Gas,2
2021,02C,02C,CBS Inspection - Heating &amp; Ventilation,3
2021,02C,02C,CBS Inspection - Plumbing,5
2021,02C,02C,CBS - Planning and Development - After Hours SR,1
2021,02C,02C,CFD - Business Licence Inspection - FHB,2
2021,02C,02C,City Clerk's - Municipal Election Question,1
2021,02C,02C,Finance - Accounts Payable,1
2021,02C,02C,Finance - Property Tax Account Inquiry,3
2021,02C,02C,Parks - Wildlife Management,1
2021,02C,02C,Roads - Dead Animal Pick-Up,1
2021,02C,02C,Roads - Debris on Street/Sidewalk/Boulevard,4
2021,02C,02C,Roads - Indemnification Agreement - Request For,1
2021,02C,02C,"Roads - NEW Signal, Left Turn or Pedestrian Light Request",3
2021,02C,02C,Roads Permits - Requests and Inquiries,1
2021,02C,02C,Roads - Pothole Maintenance,1
2021,02C,02C,Roads - Roadway Maintenance,1
2021,02C,02C,Roads - Sidewalk - Curb and Gutter Repair,1
2021,02C,02C,Roads - Signs - Missing - Damaged,3
2021,02C,02C,Roads - Snow and Ice Control,2
2021,02C,02C,WATR - Erosion and Sediment Control,8
2021,02C,02C,WATS - Erosion and Sediment Control,1
2021,02C,02C,WATS - Fire Hydrant Flow Test,1
2021,02E,02E,Bylaw - Disturbance and Behavioural Concerns,1
2021,02E,02E,CBS Inspection - Gas,1
2021,02E,02E,CBS - RIM - Property Research,1
2021,02E,02E,CFD - Life Safety Systems Inspection - FHB,1
2021,02E,02E,City Clerk's - Municipal Election Question,1
2021,02E,02E,Corporate - Graffiti Concerns,1
2021,02E,02E,Finance - Property Tax Account Inquiry,1
2021,02E,02E,Parks - Wildlife Sightings,1
2021,02E,02E,Roads - Signs - Missing - Damaged,2
2021,02E,02E,Roads - Signs - Traffic and Roadmarking,1
2021,02E,02E,Roads - Traffic or Pedestrian Light Repair,1
2021,02E,02E,WATS - Fire Hydrant Flow Test,1
2021,02E,02E,WATS - Manhole Concerns,1
2021,02E,02E,WATS - Water Off-On Appointment,1
2021,02E,02E,WRS - Landfill - Industrial Permit or Inquiry,1
2021,02F,02F,311 Contact Us,5
2021,02F,02F,Animal / Bylaw - Information Request,1
2021,02F,02F,AS - Animal at Large,1
2021,02F,02F,AS - Animal Chase - Threat,1
2021,02F,02F,Bylaw - Disturbance and Behavioural Concerns,2
2021,02F,02F,Bylaw - Material on Public Property,2
2021,02F,02F,Bylaw - Temporary Signs Infraction on City Property,9
2021,02F,02F,Bylaw - Vehicle Concerns,9
2021,02F,02F,Bylaw - Waste and Recycling Infractions,1
2021,02F,02F,CAI - 5G Wireless Infrastructure Deployment Inquiry,1
