year,month,day_of_week,source,service_name,agency_responsible,location_type,n,quick
2021,1,0,App,311 Contact Us,CFOD - Customer Services and Communications,Community Centrepoint,36,34
2021,1,0,App,Bylaw - Material on Public Property,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,App,Bylaw - Property Maintenance Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,App,Bylaw - Snow and Ice on Sidewalk,CS - Calgary Community Standards,Community Centrepoint,147,147
2021,1,0,App,Bylaw - Temporary Signs Infraction on City Property,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,App,Bylaw - Waste and Recycling Infractions,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,App,CBS - Infill Construction Concerns,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Commercial or Multi-Family,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Electrical,PD - Calgary Building Services,Community Centrepoint,17,17
2021,1,0,App,CBS Inspection - Furnace Replacement,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Gas,PD - Calgary Building Services,Community Centrepoint,2,2
2021,1,0,App,CBS Inspection - Plumbing,PD - Calgary Building Services,Community Centrepoint,8,8
2021,1,0,App,CBS Inspection - Residential Improvement Project - RIP,PD - Calgary Building Services,Community Centrepoint,5,5
2021,1,0,App,Compliance - Business Licence Concern,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,App,Corporate - Graffiti Concerns,CS - Calgary Community Standards,Community Centrepoint,72,72
2021,1,0,App,Corporate - Graffiti Concerns,CS - Emergency Management and Community Safety,Community Centrepoint,2,2
2021,1,0,App,Parks - Garbage - WAM,CS - Calgary Parks,Community Centrepoint,24,24
2021,1,0,App,Parks - Infrastructure - WAM,CS - Calgary Parks,Community Centrepoint,9,9
2021,1,0,App,Parks - Lighting Concern - WAM,CS - Calgary Parks,Community Centrepoint,3,3
2021,1,0,App,Parks - Maintenance - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,App,Parks - Pathway Concern - WAM,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,App,Parks - Snow and Ice Concerns - WAM,CS - Calgary Parks,Community Centrepoint,59,59
2021,1,0,App,Parks - Snow and Ice Concerns - WAM,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Parks - Tree Concern - WAM,CS - Calgary Parks,Community Centrepoint,4,4
2021,1,0,App,Parks - Wildlife Management,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,App,Parks - Wildlife Management,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Parks - Wildlife Sightings,CS - Calgary Parks,Community Centrepoint,4,4
2021,1,0,App,Parks - Wildlife Sightings,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Roads - Dead Animal Pick-Up,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,Roads - Debris on Backlane,TRAN - Roads,Community Centrepoint,10,10
2021,1,0,App,Roads - Detour Inquiry,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Fence - Noise Barrier - Retaining Wall Repair,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Pothole Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Roadway Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Sidewalk - Curb and Gutter Repair,TRAN - Roads,Community Centrepoint,2,1
2021,1,0,App,Roads - Signs - Missing - Damaged,OS - Mobility,Community Centrepoint,2,2
2021,1,0,App,Roads - Signs - Missing - Damaged,TRAN - Roads,Community Centrepoint,14,14
2021,1,0,App,Roads - Signs - Traffic and Roadmarking,OS - Mobility,Community Centrepoint,2,2
2021,1,0,App,Roads - Signs - Traffic and Roadmarking,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,Roads - Snow and Ice Control,TRAN - Roads,Community Centrepoint,67,67
2021,1,0,App,Roads - Streetlight Damage,TRAN - Roads,Community Centrepoint,5,5
2021,1,0,App,Roads - Traffic or Pedestrian Light Repair,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,App,Roads - Traffic Signal Timing Inquiry,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,WATS - Catch Basin Concerns,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,App,WATS - Fire Hydrant,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,App,WATS - Manhole Concerns,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,After Hours Transit - General Concerns,TRAN - Calgary Transit,Community Centrepoint,5,5
2021,1,0,Other,AS - Animal at Large,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,AS - Animal Chase - Threat,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,AS - Animal Licence - Concerns on Existing,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,AS - Dog Defecation,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,AS - Lost and Found Animal,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,Other,AS - Pick Up Stray,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,Other,Bylaw - Disturbance and Behavioural Concerns,CS - Calgary Community Standards,Community Centrepoint,31,31
2021,1,0,Other,Bylaw - Material on Public Property,CS - Calgary Community Standards,Community Centrepoint,11,11
2021,1,0,Other,Bylaw - Noise Concerns,CS - Emergency Management and Community Safety,Community Centrepoint,1,1
2021,1,0,Other,Bylaw - Property Maintenance Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,Bylaw - Snow and Ice on Sidewalk,CS - Calgary Community Standards,Community Centrepoint,27,27
2021,1,0,Other,Bylaw - Temporary Signs Infraction on City Property,CS - Calgary Community Standards,Community Centrepoint,8,8
2021,1,0,Other,Bylaw - Vehicle Concerns,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,Other,CAI - City Online - Concern,DCMO - Corporate Analytics and Innovation,None,1,1
2021,1,0,Other,Calgary Housing - General Inquiry,CS - Calgary Housing,Community Centrepoint,2,2
2021,1,0,Other,CBS Concern - Building Without a Permit,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Other,CBS - DCI - Vehicle Infractions,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Other,CBS Inspection - Electrical,PD - Calgary Building Services,Community Centrepoint,3,3
2021,1,0,Other,CBS Inspection - Plumbing,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Other,CBS - Planning and Development - After Hours SR,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Other,CBS - RIM - Property Research,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Other,CFD - Lockbox Problem - FHB,CS - Calgary Fire,Community Centrepoint,1,1
2021,1,0,Other,CN - Senior Services Home Maintenance Concern,CS - Calgary Neighbourhoods,Community Centrepoint,1,1
2021,1,0,Other,CN - Subsidized Programs - Fair Entry,CS - Calgary Neighbourhoods,Community Centrepoint,5,5
2021,1,0,Other,Compliance - Taxi/Limousine/TNC (Ride Sharing) Concern,CS - Calgary Community Standards,Community Centrepoint,12,12
2021,1,0,Other,Corporate - Encampment Concerns,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,Corporate - Face Covering Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,Corporate - Graffiti Concerns,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,CT - Advertising and Communications,TRAN - Calgary Transit,Community Centrepoint,4,4
2021,1,0,Other,CT - Bus or CTrain Vehicle Maintenance,TRAN - Calgary Transit,Community Centrepoint,1,1
2021,1,0,Other,CT - Bus Route or Bus Schedule,TRAN - Calgary Transit,Community Centrepoint,1,1
2021,1,0,Other,CT - Bus Stops,TRAN - Calgary Transit,Community Centrepoint,22,22
2021,1,0,Other,CT - CTrain Stations,TRAN - Calgary Transit,Community Centrepoint,1,1
2021,1,0,Other,CT - Fair Entry Inquiry,TRAN - Calgary Transit,Community Centrepoint,5,5
2021,1,0,Other,CT - MAX,TRAN - Calgary Transit,Community Centrepoint,1,1
2021,1,0,Other,CT - Snow and Ice Control,TRAN - Calgary Transit,Community Centrepoint,21,21
2021,1,0,Other,CT - Transit Pass Programs,TRAN - Calgary Transit,Community Centrepoint,6,6
2021,1,0,Other,CT - Transit Safety / Public Etiquette,TRAN - Calgary Transit,Community Centrepoint,4,4
2021,1,0,Other,Finance - Property Tax Account Inquiry,CFOD - Finance,Community Centrepoint,1,1
2021,1,0,Other,Finance - Tax Account Maintenance,CFOD - Finance,Community Centrepoint,1,1
2021,1,0,Other,Finance - TIPP Agreement Request,CFOD - Finance,Community Centrepoint,1,1
2021,1,0,Other,Law - Risk Management and Claims,LL - Law,Community Centrepoint,1,1
2021,1,0,Other,Opinions on Business Units,Corporate Wide Service Requests,Community Centrepoint,3,3
2021,1,0,Other,Opinions on Business Units,Corporate Wide Service Requests,None,2,2
2021,1,0,Other,Parks - Employee Complaint - Compliment,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Garbage - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - General Concerns,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,Other,Parks - Infrastructure - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Maintenance - WAM,CS - Calgary Parks,Community Centrepoint,3,3
2021,1,0,Other,Parks - Pest Management,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Planning Inquiries,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Snow and Ice Concerns - WAM,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,Other,Parks - Tree Concern - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Wildlife Management,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,Other,Parks - Wildlife Management,OS - Parks and Open Spaces,Community Centrepoint,2,2
2021,1,0,Other,Parks - Wildlife Sightings,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Other,Parks - Wildlife Sightings,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,Other,Port-a-Potty Inquiry,CS - Calgary Recreation,Community Centrepoint,1,1
2021,1,0,Other,Roads - Dead Animal Pick-Up,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Other,Roads - Debris on Backlane,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,Other,Roads - Debris on Street/Sidewalk/Boulevard,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Other,Roads - Employee Complaint - Compliment,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Other,Roads - Existing Speed Limit Sign Concern,TRAN - Roads,Community Centrepoint,5,5
2021,1,0,Other,Roads - Fence - Noise Barrier - Retaining Wall Repair,OS - Mobility,Community Centrepoint,1,1
2021,1,0,Other,"Roads - NEW Signal, Left Turn or Pedestrian Light Request",TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Other,Roads - New Subdivisions,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Other,Roads - Roadway Maintenance,TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Other,Roads - Signs - Missing - Damaged,OS - Mobility,Community Centrepoint,1,1
2021,1,0,Other,Roads - Signs - Traffic and Roadmarking,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Other,Roads - Snow and Ice Control,TRAN - Roads,Community Centrepoint,27,27
2021,1,0,Other,Roads - Traffic or Pedestrian Light Repair,TRAN - Roads,Community Centrepoint,10,10
2021,1,0,Other,WATS - Basement Seepage,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,WATS - Construction Inquiry,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,Other,WATS - Emergency Water Temporary Off,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,WATS - Fire Hydrant,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,WATS - Manhole Concerns,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,WATS - Service and Main Valve Issues,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,WATS - Sewage Back-up,UEP - Water Services,Community Centrepoint,8,8
2021,1,0,Other,WATS - Sewer Maintenance,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,Other,WRS - Cart Management,OS - Waste and Recycling Services,Community Centrepoint,2,2
2021,1,0,Other,WRS - Cart Management,UEP - Waste and Recycling Services,Community Centrepoint,6,6
2021,1,0,Other,WRS - Commercial Collection Services,UEP - Waste and Recycling Services,Community Centrepoint,1,1
2021,1,0,Other,WRS - Compost - Green Cart,UEP - Waste and Recycling Services,Community Centrepoint,5,5
2021,1,0,Other,WRS - Employee - Complaint Compliment,UEP - Waste and Recycling Services,Community Centrepoint,1,1
2021,1,0,Other,WRS - New Service - Carts,UEP - Waste and Recycling Services,Community Centrepoint,2,2
2021,1,0,Other,WRS - Recycling - Blue Cart,UEP - Waste and Recycling Services,Community Centrepoint,1,1
2021,1,0,Other,WRS - Recycling - Depots,OS - Waste and Recycling Services,Community Centrepoint,1,1
2021,1,0,Other,WRS - Waste - Residential,UEP - Waste and Recycling Services,Community Centrepoint,2,2
2021,1,0,Phone,After Hours Office of the Councillors - General Inquiry,Elected Officials,Community Centrepoint,5,5
2021,1,0,Phone,After Hours Office of the Councillors - General Inquiry,LL - City Clerk's,Community Centrepoint,1,1
2021,1,0,Phone,After Hours Office of the Councillors - General Inquiry,LLSS - City Clerk's Office,Community Centrepoint,1,1
2021,1,0,Phone,After Hours Transit - General Concerns,TRAN - Calgary Transit,Community Centrepoint,5,5
2021,1,0,Phone,Animal / Bylaw - Employee Complaint - Compliment,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Phone,Animal / Bylaw - Information Request,CS - Calgary Community Standards,Community Centrepoint,7,7
2021,1,0,Phone,AS - Animal at Large,CS - Calgary Community Standards,Community Centrepoint,28,28
2021,1,0,Phone,AS - Animal at Large,CS - Emergency Management and Community Safety,Community Centrepoint,2,2
2021,1,0,Phone,AS - Animal Bite,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Animal Chase - Threat,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Animal Chase - Threat,CS - Emergency Management and Community Safety,Community Centrepoint,1,1
2021,1,0,Phone,AS - Animal Damaging Pet or Property,CS - Calgary Community Standards,Community Centrepoint,4,4
2021,1,0,Phone,AS - Animal Licence - Concerns on Existing,CS - Calgary Community Standards,Community Centrepoint,9,9
2021,1,0,Phone,AS - Animal Noise,CS - Calgary Community Standards,Community Centrepoint,10,10
2021,1,0,Phone,AS - Animal Public Relations,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Animal Tethered -Tied,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Animal Vehicle Offences,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Dog Defecation,CS - Calgary Community Standards,Community Centrepoint,4,4
2021,1,0,Phone,AS - Livestock - Bird(s) in the City,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,AS - Lost and Found Animal,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,Phone,ASMT - Assessment General Concern - After Hours and Overflow,CFOD - Assessment,Community Centrepoint,4,4
2021,1,0,Phone,ASMT - Assessment General Concern - After Hours and Overflow,CPFS - Assessment and Tax,Community Centrepoint,1,1
2021,1,0,Phone,AS - Pick Up Stray,CS - Calgary Community Standards,Community Centrepoint,17,17
2021,1,0,Phone,AS - Pick Up Stray,CS - Emergency Management and Community Safety,Community Centrepoint,1,1
2021,1,0,Phone,AS - Rat Sighting,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,Bylaw - Disturbance and Behavioural Concerns,CS - Calgary Community Standards,Community Centrepoint,26,26
2021,1,0,Phone,Bylaw - Invoice Appeal,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,Bylaw - Material on Public Property,CS - Calgary Community Standards,Community Centrepoint,36,36
2021,1,0,Phone,Bylaw - Noise Concerns,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,Phone,Bylaw - Noise Concerns,CS - Emergency Management and Community Safety,Community Centrepoint,6,6
2021,1,0,Phone,Bylaw - Snow and Ice on Sidewalk,CS - Calgary Community Standards,Community Centrepoint,164,163
2021,1,0,Phone,Bylaw - Snow and Ice on Sidewalk,CS - Emergency Management and Community Safety,Community Centrepoint,1,1
2021,1,0,Phone,Bylaw - Temporary Signs Infraction on City Property,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Phone,Bylaw - Vandalism and Property Damage Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Phone,Bylaw - Waste and Recycling Infractions,CS - Calgary Community Standards,Community Centrepoint,5,5
2021,1,0,Phone,CBS - Code Inquiry,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Phone,CBS Concern - Building Without a Permit,PD - Calgary Building Services,Community Centrepoint,4,4
2021,1,0,Phone,CBS - DCI - Vehicle Infractions,PD - Calgary Building Services,Community Centrepoint,16,16
2021,1,0,Phone,CBS - DCI - Vehicle Infractions,"PDS - Development, Business and Building Services",Community Centrepoint,1,1
2021,1,0,Phone,CBS Inspection - Cancellation or Reschedule,PD - Calgary Building Services,Community Centrepoint,21,21
2021,1,0,Phone,CBS Inspection - Commercial or Multi-Family,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Phone,CBS Inspection - Electrical,PD - Calgary Building Services,Community Centrepoint,7,7
2021,1,0,Phone,CBS Inspection - Furnace Replacement,PD - Calgary Building Services,Community Centrepoint,4,4
2021,1,0,Phone,CBS Inspection - Gas,PD - Calgary Building Services,Community Centrepoint,2,2
2021,1,0,Phone,CBS Inspection - Heating & Ventilation,PD - Calgary Building Services,Community Centrepoint,2,2
2021,1,0,Phone,CBS Inspection - Plumbing,PD - Calgary Building Services,Community Centrepoint,9,9
2021,1,0,Phone,CBS Inspection - Residential Improvement Project - RIP,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,Phone,CBS - RIM - Property Research,PD - Calgary Building Services,Community Centrepoint,5,5
2021,1,0,Phone,CEMA - Non Emergency Request,CS - Calgary Emergency Management Agency,None,1,1
2021,1,0,Phone,CFD - Fire Code and General Inquiries - FHB,CS - Calgary Fire,Community Centrepoint,3,3
2021,1,0,Phone,CFD - Fire Code Hazard Complaint - FHB,CS - Calgary Fire,Community Centrepoint,1,1
2021,1,0,Phone,CFD - Incident Report Request,CS - Calgary Fire,Community Centrepoint,1,1
2021,1,0,Phone,CFD - Inspection - Business Licence - FHB,CS - Calgary Fire,Community Centrepoint,1,1
2021,1,0,Phone,CFD - Lockbox Inquiry - FHB,CS - Calgary Fire,Community Centrepoint,1,1
2021,1,0,Phone,CFD - Lockbox Problem - FHB,CS - Calgary Fire,Community Centrepoint,2,2
2021,1,0,Phone,City Clerk's - Election and Census Inquiry,LL - City Clerk's,Community Centrepoint,1,1
2021,1,0,Phone,CN - Subsidized Programs - Fair Entry,CS - Calgary Neighbourhoods,Community Centrepoint,9,9
2021,1,0,Phone,Compliance - Business Licence Concern,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,Phone,Compliance - Taxi/Limousine/TNC (Ride Sharing) Concern,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Phone,Corporate - Encampment Concerns,CS - Calgary Community Standards,Community Centrepoint,7,7
2021,1,0,Phone,Corporate - Face Covering Concerns,CS - Calgary Community Standards,Community Centrepoint,18,18
2021,1,0,Phone,Corporate - Graffiti Concerns,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,Phone,CSC - Calgary.ca Feedback and Issue Report,CFOD - Customer Services and Communications,None,1,1
2021,1,0,Phone,DBBS - RIM - Property Research,"PDS - Development, Business and Building Services",Community Centrepoint,1,1
2021,1,0,Phone,Facility Mgmt - Civic Facility Inquiry,DCMO - Facility Management,Community Centrepoint,1,1
2021,1,0,Phone,Facility Mgmt - FMCCC - Customer Care Centre,DCMO - Facility Management,Community Centrepoint,1,1
2021,1,0,Phone,Finance - Credit and Collection Inquiries,CFOD - Finance,Community Centrepoint,1,1
2021,1,0,Phone,Finance - Property Tax Account Inquiry,CFOD - Finance,Community Centrepoint,52,52
2021,1,0,Phone,Finance - School Support Notice Document Request,CFOD - Finance,Community Centrepoint,1,1
2021,1,0,Phone,Finance - Tax Account Maintenance,CFOD - Finance,Community Centrepoint,6,6
2021,1,0,Phone,Finance - TIPP Agreement Request,CFOD - Finance,Community Centrepoint,14,14
2021,1,0,Phone,HR - Recruitment and Program Inquiry,PICS - Human Resources,None,6,6
2021,1,0,Phone,Law - Risk Management and Claims,LL - Law,Community Centrepoint,2,2
2021,1,0,Phone,Mayor's Office - General Concerns,Elected Officials,None,2,2
2021,1,0,Phone,Opinions on Business Units,Corporate Wide Service Requests,None,26,26
2021,1,0,Phone,Parks - Community Inquiry,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Phone,Parks - Devonian Gardens - Inquiries and Bookings,CS - Calgary Parks,None,1,1
2021,1,0,Phone,Parks - Employee Complaint - Compliment,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,Phone,Parks - Garbage - WAM,CS - Calgary Parks,Community Centrepoint,7,7
2021,1,0,Phone,Parks - General Concerns,CS - Calgary Parks,Community Centrepoint,3,3
2021,1,0,Phone,Parks - Infrastructure - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Phone,Parks - Lost and Found - WAM,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,Phone,Parks - Maintenance - WAM,CS - Calgary Parks,Community Centrepoint,8,8
2021,1,0,Phone,Parks - Natural Area Maintenance - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Phone,Parks - Pathway Concern - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Phone,Parks - Planning Inquiries,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,Phone,Parks - Snow and Ice Concerns - WAM,CS - Calgary Parks,Community Centrepoint,17,17
2021,1,0,Phone,Parks - Tree Concern - WAM,CS - Calgary Parks,Community Centrepoint,6,6
2021,1,0,Phone,Parks - Volunteer Request,CS - Calgary Parks,None,2,2
2021,1,0,Phone,Parks - Volunteer Request,OS - Parks and Open Spaces,None,1,1
2021,1,0,Phone,Parks - Wildlife Management,CS - Calgary Parks,Community Centrepoint,6,6
2021,1,0,Phone,Parks - Wildlife Management,OS - Parks and Open Spaces,Community Centrepoint,5,5
2021,1,0,Phone,Parks - Wildlife Sightings,CS - Calgary Parks,Community Centrepoint,7,7
2021,1,0,Phone,Parks - Wildlife Sightings,OS - Parks and Open Spaces,Community Centrepoint,8,8
2021,1,0,Phone,Port-a-Potty Inquiry,CS - Calgary Recreation,Community Centrepoint,1,1
2021,1,0,Phone,REC - Arena Inquiry,CS - Calgary Recreation,Community Centrepoint,1,1
2021,1,0,Phone,RE&DS - Real Estate & Development Services - Project Inquiry,DCMO - Real Estate and Development Services,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Backlane Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Dead Animal Pick-Up,TRAN - Roads,Community Centrepoint,12,12
2021,1,0,Phone,Roads - Debris on Backlane,TRAN - Roads,Community Centrepoint,5,5
2021,1,0,Phone,Roads - Debris on Street/Sidewalk/Boulevard,TRAN - Roads,Community Centrepoint,18,18
2021,1,0,Phone,Roads - Detour Inquiry,TRAN - Roads,Community Centrepoint,6,6
2021,1,0,Phone,Roads - Detour Urgent (Safety) Concerns,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,Phone,Roads - Employee Complaint - Compliment,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Phone,Roads - Fence - Noise Barrier - Retaining Wall Repair,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,"Roads - NEW Signal, Left Turn or Pedestrian Light Request",TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Pavement Markings - Missing or Faded,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads Permits - Requests and Inquiries,TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Pothole Maintenance,OS - Mobility,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Roadway Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Sidewalk - Curb and Gutter Repair,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Signs - Missing - Damaged,OS - Mobility,Community Centrepoint,3,3
2021,1,0,Phone,Roads - Signs - Missing - Damaged,TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Signs - Parking,OS - Mobility,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Signs - Parking,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Phone,Roads - Signs - Traffic and Roadmarking,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,Phone,Roads - Snow and Ice Control,OS - Mobility,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Snow and Ice Control,TRAN - Roads,Community Centrepoint,141,141
2021,1,0,Phone,Roads - Speed Education,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Streetlight Damage,TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Streetlight - General Inquiry,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Traffic Control Change Feedback,OS - Mobility,None,1,1
2021,1,0,Phone,Roads - Traffic Control Change Feedback,TRAN - Roads,None,1,1
2021,1,0,Phone,Roads - Traffic Operational Improvement Inquiry,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Roads - Traffic or Pedestrian Light Repair,OS - Mobility,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Traffic or Pedestrian Light Repair,TRAN - Roads,Community Centrepoint,14,14
2021,1,0,Phone,Roads - Traffic Signal Lane Designation Sign,TRAN - Roads,Community Centrepoint,2,2
2021,1,0,Phone,Roads - Traffic Signal Timing Inquiry,TRAN - Roads,Community Centrepoint,8,8
2021,1,0,Phone,Roads - Wheelchair Slope - Request For,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,Phone,Stewardship of City Owned Land,DCMO - Real Estate and Development Services,Community Centrepoint,2,2
2021,1,0,Phone,TP - Future Road Planning and Upgrades,TRAN - Transportation Planning,Community Centrepoint,1,1
2021,1,0,Phone,WATS - Catch Basin Concerns,UEP - Water Services,Community Centrepoint,3,3
2021,1,0,Phone,WATS - Construction Inquiry,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,Phone,WATS - Drainage Bylaw,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,Phone,WATS - Emergency Water Temporary Off,UEP - Water Services,Community Centrepoint,7,7
2021,1,0,Phone,WATS - Fire Hydrant,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,Phone,WATS - Manhole Concerns,UEP - Water Services,Community Centrepoint,3,3
2021,1,0,Phone,WATS - Sewage Back-up,UEP - Water Services,Community Centrepoint,92,92
2021,1,0,Phone,WATS - Sewer Maintenance,UEP - Water Services,Community Centrepoint,12,12
2021,1,0,Phone,WATS - Spills Entering Storm System,UEP - Water Services,Community Centrepoint,4,4
2021,1,0,Phone,WATS - Water Main Break or Leak,UEP - Water Services,Community Centrepoint,7,7
2021,1,0,Phone,WATS - Water Meter Issues,UEP - Water Services,Community Centrepoint,1,1
